word1	word2	label	relation	fold
foot	robin	False	other	test
barrel	shirt	False	other	test
bowl	object	True	hyper	test
hatchet	artifact	True	hyper	test
jet	aircraft	True	hyper	test
construction	hospital	False	other	test
car	jet	False	other	test
canoe	ferry	False	other	test
beak	crow	False	other	test
salmon	vertebrate	True	hyper	test
windshield	van	False	other	test
vertebrate	coyote	False	other	test
artifact	blouse	False	other	test
commodity	glove	False	other	test
castle	fortification	True	hyper	test
fighter	lecturer	False	other	test
coat	opposition	False	other	test
chair	object	True	hyper	test
hatchet	utensil	True	hyper	test
commodity	hat	False	other	test
wardrobe	furniture	True	hyper	test
spear	artefact	True	hyper	test
knife	foreboding	False	other	test
object	flute	False	other	test
animal	owl	False	other	test
frigate	bomber	False	other	test
sheep	mammal	True	hyper	test
cockroach	creature	True	hyper	test
goldfish	animal	True	hyper	test
shirt	good	True	hyper	test
artefact	saw	False	other	test
end	spear	False	other	test
tanker	hull	False	other	test
hat	virus	False	other	test
commodity	dress	False	other	test
pistol	arm	True	hyper	test
grapefruit	re-assessment	False	other	test
creature	giraffe	False	other	test
object	robe	False	other	test
frog	creature	True	hyper	test
cathedral	pub	False	other	test
bird	robin	False	other	test
rat	animal	True	hyper	test
jacket	glove	False	other	test
bomber	artifact	True	hyper	test
beetle	bug	True	hyper	test
corn	vegetable	True	hyper	test
root	acacia	False	other	test
apple	produce	True	hyper	test
clove	garlic	False	other	test
broccoli	produce	True	hyper	test
snake	establishment	False	other	test
carrot	food	True	hyper	test
stereo	appliance	True	hyper	test
goat	food	True	hyper	test
frog	animal	True	hyper	test
fox	carnivore	True	hyper	test
goat	animal	True	hyper	test
fruit	lemon	False	other	test
villa	dwelling	True	hyper	test
deer	ear	False	other	test
carp	creature	True	hyper	test
sword	artefact	True	hyper	test
engine	ferry	False	other	test
beaver	coyote	False	other	test
axe	artifact	True	hyper	test
tuna	goldfish	False	other	test
sword	artifact	True	hyper	test
phone	good	True	hyper	test
castle	home	True	hyper	test
fighter	aircraft	True	hyper	test
goat	herbivore	True	hyper	test
scarf	commodity	True	hyper	test
glove	sweatshirt	False	other	test
jacket	garment	True	hyper	test
scavenger	crow	False	other	test
jacket	wear	True	hyper	test
robin	animal	True	hyper	test
axe	clearance	False	other	test
television	shovel	False	other	test
castle	defense	True	hyper	test
revolver	device	True	hyper	test
snake	animal	True	hyper	test
corn	produce	True	hyper	test
spinach	vegetable	True	hyper	test
hammer	utensil	True	hyper	test
screwdriver	artefact	True	hyper	test
washer	artefact	True	hyper	test
hornet	creature	True	hyper	test
seafood	trout	False	other	test
falcon	claw	False	other	test
device	rifle	False	other	test
ape	gorilla	False	other	test
tanker	artifact	True	hyper	test
spear	object	True	hyper	test
institution	library	False	other	test
dismay	vulture	False	other	test
stereo	device	True	hyper	test
cockroach	pest	True	hyper	test
hat	accessory	True	hyper	test
robe	apparel	True	hyper	test
car	goody	False	other	test
sweater	wear	True	hyper	test
cow	beast	True	hyper	test
castle	restaurant	False	other	test
goat	ear	False	other	test
spoon	wrench	False	other	test
salmon	food	True	hyper	test
goldfish	vertebrate	True	hyper	test
blouse	spider	False	other	test
battleship	glider	False	other	test
fish	goldfish	False	other	test
leaf	parsley	False	other	test
trigger	cannon	False	other	test
freezer	appliance	True	hyper	test
chair	furniture	True	hyper	test
chameleon	lizard	False	other	test
corn	infertility	False	other	test
hawk	predator	True	hyper	test
artefact	bowl	False	other	test
carrot	ssa	False	other	test
tiger	homeland	False	other	test
microphone	bottle	False	other	test
inside	dishwasher	False	other	test
tooth	snake	False	other	test
garlic	hallway	False	other	test
falcon	bird	True	hyper	test
artifact	grenade	False	other	test
deer	rabbit	False	other	test
fridge	artifact	True	hyper	test
donkey	hair	False	other	test
plumage	goose	False	other	test
corn	cereal	True	hyper	test
beak	vulture	False	other	test
phone	device	True	hyper	test
wrench	artefact	True	hyper	test
pharaoh	mackerel	False	other	test
horse	mammal	True	hyper	test
falcon	underdog	False	other	test
giraffe	beast	True	hyper	test
lizard	animal	True	hyper	test
pub	structure	True	hyper	test
axe	tool	True	hyper	test
cannon	gun	True	hyper	test
bottom	bag	False	other	test
parsley	seasoning	True	hyper	test
beast	lion	False	other	test
helicopter	van	False	other	test
car	conveyance	True	hyper	test
goose	continuum	False	other	test
gorilla	primate	True	hyper	test
swan	bird	True	hyper	test
grape	berry	True	hyper	test
jet	craft	True	hyper	test
bodice	dress	False	other	test
whale	trout	False	other	test
guitar	artifact	True	hyper	test
television	artifact	True	hyper	test
fridge	device	True	hyper	test
artefact	bomber	False	other	test
glove	apparel	True	hyper	test
alligator	eye	False	other	test
oak	tree	True	hyper	test
herbivore	cow	False	other	test
metal	bus	False	other	test
windshield	bomber	False	other	test
penguin	animal	True	hyper	test
firearm	revolver	False	other	test
ridge	sweater	False	other	test
vehicle	ambulance	False	other	test
vertebrate	frog	False	other	test
owner	cottage	False	other	test
hat	covering	True	hyper	test
bomber	setting	False	other	test
moth	dairy	False	other	test
hilt	sword	False	other	test
yacht	train	False	other	test
site	hospital	False	other	test
radio	stereo	False	other	test
artifact	desk	False	other	test
birch	tree	True	hyper	test
stove	object	True	hyper	test
cranberry	quarantine	False	other	test
phone	artifact	True	hyper	test
bus	vehicle	True	hyper	test
vessel	mug	False	other	test
grain	corn	False	other	test
vertebrate	herring	False	other	test
box	artefact	True	hyper	test
hawk	raptor	True	hyper	test
cloak	covering	True	hyper	test
fork	turnkey	False	other	test
cranberry	grapefruit	False	other	test
pub	construction	True	hyper	test
vertebrate	tiger	False	other	test
jar	container	True	hyper	test
sweater	good	True	hyper	test
cow	ruminant	True	hyper	test
bus	artefact	True	hyper	test
onion	corn	False	other	test
herb	parsley	False	other	test
banana	fruit	True	hyper	test
poplar	angiosperm	True	hyper	test
plastic	fork	False	other	test
trumpet	artefact	True	hyper	test
lemon	citrus	True	hyper	test
artifact	ferry	False	other	test
deer	creature	True	hyper	test
rat	creature	True	hyper	test
cucumber	food	True	hyper	test
spade	artefact	True	hyper	test
metal	trumpet	False	other	test
desk	artefact	True	hyper	test
elm	tree	True	hyper	test
sieve	filter	True	hyper	test
fighter	warplane	True	hyper	test
catfish	food	True	hyper	test
plum	produce	True	hyper	test
elephant	triumph	False	other	test
garlic	food	True	hyper	test
pine	tree	True	hyper	test
arm	dagger	False	other	test
bed	furniture	True	hyper	test
cauliflower	produce	True	hyper	test
cherry	food	True	hyper	test
deer	vertebrate	True	hyper	test
alligator	predator	True	hyper	test
flower	birch	False	other	test
tool	hatchet	False	other	test
robe	artifact	True	hyper	test
apricot	produce	True	hyper	test
animal	trout	False	other	test
food	beet	False	other	test
camcorder	yacht	False	other	test
restaurant	battle	False	other	test
stove	artifact	True	hyper	test
horse	herbivore	True	hyper	test
falcon	creature	True	hyper	test
crow	vertebrate	True	hyper	test
yacht	bus	False	other	test
jet	plane	True	hyper	test
piano	artifact	True	hyper	test
inside	hat	False	other	test
plum	fruit	True	hyper	test
back	train	False	other	test
whale	mammal	True	hyper	test
fridge	test	False	other	test
artefact	revolver	False	other	test
squirrel	creature	True	hyper	test
sweater	garment	True	hyper	test
eye	frog	False	other	test
leek	potato	False	other	test
device	television	False	other	test
donkey	vertebrate	True	hyper	test
blouse	apparel	True	hyper	test
rabbit	beast	True	hyper	test
trumpet	cyst	False	other	test
stocking	vest	False	other	test
bird	pigeon	False	other	test
gorilla	mammal	True	hyper	test
washer	steel	False	other	test
lemon	disguise	False	other	test
vehicle	helicopter	False	other	test
glove	artefact	True	hyper	test
battleship	vessel	True	hyper	test
bowl	inside	False	other	test
bus	conveyance	True	hyper	test
restaurant	structure	True	hyper	test
turtle	beast	True	hyper	test
jacket	hat	False	other	test
carp	vertebrate	True	hyper	test
tool	shovel	False	other	test
dress	wear	True	hyper	test
vest	covering	True	hyper	test
sheep	snout	False	other	test
beaver	rodent	True	hyper	test
lizard	eye	False	other	test
cottage	structure	True	hyper	test
wardrobe	object	True	hyper	test
produce	grape	False	other	test
sieve	frame	False	other	test
coconut	food	True	hyper	test
box	mug	False	other	test
bull	vertebrate	True	hyper	test
wasp	occupation	False	other	test
pig	skin	False	other	test
carp	seafood	True	hyper	test
yacht	vessel	True	hyper	test
cranberry	produce	True	hyper	test
fighter	plane	True	hyper	test
radio	device	True	hyper	test
fruit	cherry	False	other	test
cathedral	site	True	hyper	test
jacket	pulse	False	other	test
spoon	artifact	True	hyper	test
building	restaurant	False	other	test
helicopter	craft	True	hyper	test
beet	root	True	hyper	test
circuit	television	False	other	test
good	cloak	False	other	test
mackerel	food	True	hyper	test
car	artifact	True	hyper	test
coat	good	True	hyper	test
furnishing	sofa	False	other	test
stereo	object	True	hyper	test
bowl	artifact	True	hyper	test
artifact	van	False	other	test
radio	appliance	True	hyper	test
birch	cypress	False	other	test
missile	grenade	False	other	test
cauliflower	rainbow	False	other	test
gun	shotgun	False	other	test
sieve	kitchenware	True	hyper	test
bowl	aim	False	other	test
helicopter	top	False	other	test
alligator	reptile	True	hyper	test
sweater	apparel	True	hyper	test
vulture	scavenger	True	hyper	test
transport	jet	False	other	test
wood	desk	False	other	test
whale	food	True	hyper	test
lettuce	bond	False	other	test
shovel	spoon	False	other	test
strawberry	alibi	False	other	test
flute	artifact	True	hyper	test
sofa	furniture	True	hyper	test
blouse	clothes	True	hyper	test
turnip	food	True	hyper	test
guitar	liturgy	False	other	test
store	hotel	False	other	test
stool	chair	False	other	test
woodpecker	animal	True	hyper	test
deer	ruminant	True	hyper	test
building	villa	False	other	test
rodent	rat	False	other	test
elephant	herbivore	True	hyper	test
snake	beast	True	hyper	test
racism	tanker	False	other	test
appliance	oven	False	other	test
revolver	steel	False	other	test
fox	mammal	True	hyper	test
bird	vulture	False	other	test
ferry	motorcycle	False	other	test
kitchenware	spoon	False	other	test
rifle	artefact	True	hyper	test
covering	glove	False	other	test
liberalization	falcon	False	other	test
tuna	food	True	hyper	test
grenade	device	True	hyper	test
eye	hawk	False	other	test
bull	ruminant	True	hyper	test
jaw	bear	False	other	test
vest	garment	True	hyper	test
carp	trespasser	False	other	test
conveyance	truck	False	other	test
swan	creature	True	hyper	test
lizard	beast	True	hyper	test
rat	beaver	False	other	test
bull	mammal	True	hyper	test
elephant	creature	True	hyper	test
vest	pc	False	other	test
phone	gadget	True	hyper	test
building	pub	False	other	test
sword	magazine	False	other	test
robe	covering	True	hyper	test
glove	accessory	True	hyper	test
pigeon	vertebrate	True	hyper	test
tiger	beast	True	hyper	test
silk	vest	False	other	test
shovel	artefact	True	hyper	test
tuna	seafood	True	hyper	test
chair	dresser	False	other	test
good	washer	False	other	test
creature	pig	False	other	test
garment	cloak	False	other	test
cabbage	diy	False	other	test
moped	scooter	False	other	test
mosquito	cockroach	False	other	test
scarf	poem	False	other	test
trumpet	violin	False	other	test
spoon	screwdriver	False	other	test
frigate	ship	True	hyper	test
saw	utensil	True	hyper	test
sieve	object	True	hyper	test
radio	object	True	hyper	test
villa	speed	False	other	test
lime	amazement	False	other	test
bag	object	True	hyper	test
dress	lace	False	other	test
hawk	goose	False	other	test
blouse	object	True	hyper	test
coat	garment	True	hyper	test
deer	herbivore	True	hyper	test
food	turtle	False	other	test
blouse	garment	True	hyper	test
potato	produce	True	hyper	test
artifact	sweater	False	other	test
swan	overdraft	False	other	test
back	robe	False	other	test
wrench	croatia	False	other	test
tuna	creature	True	hyper	test
vertebrate	snake	False	other	test
trumpet	artifact	True	hyper	test
maneuver	tiger	False	other	test
hatchet	cannon	False	other	test
hammer	nausea	False	other	test
parsley	food	True	hyper	test
scissors	hatchet	False	other	test
crow	creature	True	hyper	test
windshield	jet	False	other	test
seafood	salmon	False	other	test
goose	creature	True	hyper	test
salmon	head	False	other	test
tightrope	hotel	False	other	test
dolphin	parliament	False	other	test
vulture	goose	False	other	test
rat	snout	False	other	test
spear	device	True	hyper	test
castle	necessity	False	other	test
pub	institution	True	hyper	test
housing	villa	False	other	test
crow	coward	False	other	test
washer	dishwasher	False	other	test
stereo	equipment	True	hyper	test
villa	house	True	hyper	test
cloak	clothes	True	hyper	test
animal	cockroach	False	other	test
spade	utensil	True	hyper	test
frigate	raft	False	other	test
artifact	wrench	False	other	test
sparrow	football	False	other	test
dress	clothes	True	hyper	test
train	artifact	True	hyper	test
lemon	food	True	hyper	test
jet	artefact	True	hyper	test
lizard	creature	True	hyper	test
dishwasher	device	True	hyper	test
phone	artillery	False	other	test
library	site	True	hyper	test
pig	animal	True	hyper	test
rifle	firearm	True	hyper	test
button	blouse	False	other	test
flute	device	True	hyper	test
shirt	underpants	False	other	test
motorcycle	vehicle	True	hyper	test
bed	sofa	False	other	test
tiger	carnivore	True	hyper	test
tree	cedar	False	other	test
mug	container	True	hyper	test
leg	grasshopper	False	other	test
herring	creature	True	hyper	test
glider	transport	True	hyper	test
falcon	vertebrate	True	hyper	test
gun	artefact	True	hyper	test
goose	waterfowl	True	hyper	test
vehicle	fighter	False	other	test
steel	wrench	False	other	test
apricot	republican	False	other	test
washer	refrigerator	False	other	test
salmon	goldfish	False	other	test
lion	vertebrate	True	hyper	test
animal	alligator	False	other	test
bull	tail	False	other	test
hatchet	lesson	False	other	test
dresser	artefact	True	hyper	test
wood	spoon	False	other	test
sparrow	animal	True	hyper	test
van	crime	False	other	test
robe	commodity	True	hyper	test
car	vehicle	True	hyper	test
goose	animal	True	hyper	test
truck	helicopter	False	other	test
trout	creature	True	hyper	test
lime	food	True	hyper	test
cannon	chamber	False	other	test
coconut	fruit	True	hyper	test
back	cloak	False	other	test
oil	motorcycle	False	other	test
wasp	beetle	False	other	test
lime	produce	True	hyper	test
pheasant	creature	True	hyper	test
truck	m	False	other	test
donkey	creature	True	hyper	test
parsley	produce	True	hyper	test
object	box	False	other	test
villa	construction	True	hyper	test
pineapple	plan	False	other	test
hornet	effectiveness	False	other	test
hawk	bird	True	hyper	test
cockroach	bug	True	hyper	test
evergreen	cypress	False	other	test
dwelling	castle	False	other	test
scooter	artefact	True	hyper	test
lime	strawberry	False	other	test
bull	cluster	False	other	test
radish	produce	True	hyper	test
pistol	weapon	True	hyper	test
penguin	vertebrate	True	hyper	test
robin	creature	True	hyper	test
van	tanker	False	other	test
dishwasher	masonry	False	other	test
hymn	helicopter	False	other	test
pillow	bed	False	other	test
ticket	stereo	False	other	test
mug	whisky	False	other	test
freezer	directory	False	other	test
blouse	arm	False	other	test
coat	commodity	True	hyper	test
pistol	artifact	True	hyper	test
cabbage	food	True	hyper	test
library	edifice	True	hyper	test
goldfish	creature	True	hyper	test
bomber	airplane	True	hyper	test
trout	food	True	hyper	test
rifle	revolver	False	other	test
sweater	clothing	True	hyper	test
artifact	bomb	False	other	test
vest	commodity	True	hyper	test
bed	artifact	True	hyper	test
cathedral	structure	True	hyper	test
predator	tiger	False	other	test
beef	bull	False	other	test
yacht	craft	True	hyper	test
artefact	blouse	False	other	test
sofa	object	True	hyper	test
lizard	alligator	False	other	test
artefact	hammer	False	other	test
apparel	jacket	False	other	test
gorilla	foot	False	other	test
creature	beetle	False	other	test
freezer	artifact	True	hyper	test
van	artefact	True	hyper	test
steel	oven	False	other	test
castle	door	False	other	test
stereo	amplifier	False	other	test
owl	vertebrate	True	hyper	test
radio	canvas	False	other	test
desk	beating	False	other	test
appliance	stove	False	other	test
garlic	spice	True	hyper	test
volunteer	fighter	False	other	test
bear	beast	True	hyper	test
spoon	tableware	True	hyper	test
commodity	freezer	False	other	test
food	grapefruit	False	other	test
bird	eagle	False	other	test
vertebrate	tuna	False	other	test
grapefruit	citrus	True	hyper	test
cow	animal	True	hyper	test
castle	structure	True	hyper	test
workload	cloak	False	other	test
frigate	vessel	True	hyper	test
table	furniture	True	hyper	test
cetacean	whale	False	other	test
creature	goat	False	other	test
castle	defence	True	hyper	test
fighter	artifact	True	hyper	test
hat	italian	False	other	test
whale	tooth	False	other	test
woodpecker	vertebrate	True	hyper	test
bottle	container	True	hyper	test
construction	hotel	False	other	test
sweater	covering	True	hyper	test
cloak	wear	True	hyper	test
revolver	bazooka	False	other	test
saw	tool	True	hyper	test
cypress	plant	True	hyper	test
missile	warhead	False	other	test
inflow	catfish	False	other	test
phone	artefact	True	hyper	test
animal	swan	False	other	test
villa	edifice	True	hyper	test
cannon	object	True	hyper	test
something	robe	False	other	test
ambulance	transport	True	hyper	test
catfish	seafood	True	hyper	test
spade	submissiveness	False	other	test
stocking	dress	False	other	test
overhaul	goat	False	other	test
moth	insect	True	hyper	test
deer	bear	False	other	test
radio	system	True	hyper	test
motorcycle	artefact	True	hyper	test
vest	clothing	True	hyper	test
creature	dolphin	False	other	test
battleship	vehicle	True	hyper	test
object	vest	False	other	test
dolphin	tuna	False	other	test
grapefruit	produce	True	hyper	test
turtle	eye	False	other	test
fighter	conveyance	True	hyper	test
grasshopper	bug	True	hyper	test
cat	creature	True	hyper	test
passenger	hawk	False	other	test
buffalo	cow	False	other	test
axe	artefact	True	hyper	test
sparrow	creature	True	hyper	test
frigate	artifact	True	hyper	test
furnishing	chair	False	other	test
craft	fighter	False	other	test
helicopter	aircraft	True	hyper	test
cloak	clothing	True	hyper	test
turtle	animal	True	hyper	test
hotel	lodging	True	hyper	test
hat	robe	False	other	test
missile	artefact	True	hyper	test
pheasant	pakistani	False	other	test
artefact	cannon	False	other	test
vitamin	lemon	False	other	test
vest	skin	False	other	test
falcon	predator	True	hyper	test
plantation	battleship	False	other	test
pear	produce	True	hyper	test
language	tuna	False	other	test
cod	carp	False	other	test
scooter	vehicle	True	hyper	test
bomber	plane	True	hyper	test
tooth	rat	False	other	test
helicopter	orientation	False	other	test
train	vehicle	True	hyper	test
fork	cutlery	True	hyper	test
hat	crown	False	other	test
accommodation	castle	False	other	test
dishwasher	appliance	True	hyper	test
artifact	spear	False	other	test
dishwasher	good	True	hyper	test
food	cranberry	False	other	test
animal	eagle	False	other	test
animal	hawk	False	other	test
restaurant	cottage	False	other	test
grenade	weapon	True	hyper	test
cod	salmon	False	other	test
robin	vertebrate	True	hyper	test
bird	woodpecker	False	other	test
coyote	head	False	other	test
rabbit	animal	True	hyper	test
saw	herat	False	other	test
apple	food	True	hyper	test
rabbit	mammal	True	hyper	test
giraffe	violin	False	other	test
potato	stooge	False	other	test
couch	furnishing	True	hyper	test
bomber	transport	True	hyper	test
ferry	outfielder	False	other	test
hammer	object	True	hyper	test
glove	artifact	True	hyper	test
battleship	bus	False	other	test
bulb	turnip	False	other	test
guitar	instrument	True	hyper	test
beaver	creature	True	hyper	test
piano	artefact	True	hyper	test
collar	shirt	False	other	test
rabbit	leg	False	other	test
bottle	object	True	hyper	test
stereo	commodity	True	hyper	test
problem	library	False	other	test
fraction	scarf	False	other	test
table	artefact	True	hyper	test
dagger	artifact	True	hyper	test
jar	artifact	True	hyper	test
grape	fruit	True	hyper	test
woodpecker	creature	True	hyper	test
fork	tool	True	hyper	test
bowl	utensil	True	hyper	test
butterfly	affidavit	False	other	test
desk	furnishing	True	hyper	test
bomber	fuel	False	other	test
radish	vegetable	True	hyper	test
jet	window	False	other	test
television	artefact	True	hyper	test
library	construction	True	hyper	test
transport	bus	False	other	test
chair	scroll	False	other	test
radio	artefact	True	hyper	test
artifact	radio	False	other	test
jacket	clothing	True	hyper	test
blouse	robe	False	other	test
ambulance	runner-up	False	other	test
jacket	artefact	True	hyper	test
pheasant	vertebrate	True	hyper	test
kitchenware	fork	False	other	test
bomber	helicopter	False	other	test
ceiling	cottage	False	other	test
artifact	motorcycle	False	other	test
iron	knife	False	other	test
cathedral	pulse	False	other	test
fox	sub-committee	False	other	test
radish	food	True	hyper	test
rabbit	sheep	False	other	test
peel	banana	False	other	test
artillery	donkey	False	other	test
battleship	craft	True	hyper	test
robe	commentary	False	other	test
pig	sheep	False	other	test
dishwasher	artefact	True	hyper	test
instrument	piano	False	other	test
penguin	dove	False	other	test
dagger	device	True	hyper	test
revolver	artifact	True	hyper	test
train	anything	False	other	test
trout	catfish	False	other	test
scarf	apparel	True	hyper	test
produce	spinach	False	other	test
sweater	underpants	False	other	test
flute	instrument	True	hyper	test
motorcycle	sauce	False	other	test
couch	furniture	True	hyper	test
trip	bowl	False	other	test
sparrow	vertebrate	True	hyper	test
scale	turtle	False	other	test
phone	equipment	True	hyper	test
knife	weapon	True	hyper	test
brick	pub	False	other	test
pig	counterpart	False	other	test
helicopter	ambulance	False	other	test
fish	herring	False	other	test
goat	beast	True	hyper	test
dagger	pommel	False	other	test
eagle	creature	True	hyper	test
cathedral	candle	False	other	test
point	screwdriver	False	other	test
animal	mackerel	False	other	test
beast	squirrel	False	other	test
tanker	ship	True	hyper	test
grenade	glucose	False	other	test
dove	vertebrate	True	hyper	test
castle	lodging	True	hyper	test
cloak	artifact	True	hyper	test
washer	appliance	True	hyper	test
jar	cookie	False	other	test
fox	vertebrate	True	hyper	test
cottage	dwelling	True	hyper	test
coat	artefact	True	hyper	test
guitar	artefact	True	hyper	test
alligator	courthouse	False	other	test
elm	oak	False	other	test
owl	predator	True	hyper	test
trumpet	piano	False	other	test
sheep	animal	True	hyper	test
villa	castle	False	other	test
grasshopper	creature	True	hyper	test
fabric	coat	False	other	test
robe	artefact	True	hyper	test
food	pear	False	other	test
ferry	artefact	True	hyper	test
bomb	device	True	hyper	test
dress	garment	True	hyper	test
vulture	predator	True	hyper	test
jet	ambulance	False	other	test
conveyance	scooter	False	other	test
vertebrate	vulture	False	other	test
robe	garment	True	hyper	test
oven	timer	False	other	test
coyote	mammal	True	hyper	test
artifact	washer	False	other	test
missile	arm	True	hyper	test
computer	stereo	False	other	test
rifle	hockey	False	other	test
cottage	construction	True	hyper	test
end	shovel	False	other	test
ambulance	artifact	True	hyper	test
lion	mammal	True	hyper	test
launcher	axe	False	other	test
squirrel	animal	True	hyper	test
rabbit	rat	False	other	test
wasp	animal	True	hyper	test
toad	frog	False	other	test
equipment	radio	False	other	test
cat	pet	True	hyper	test
butterfly	creature	True	hyper	test
jet	aeroplane	True	hyper	test
oven	artefact	True	hyper	test
lion	mouth	False	other	test
object	phone	False	other	test
peach	coconut	False	other	test
blouse	clothing	True	hyper	test
